date,price_usd,volume_btc,num_trades,source
2010-12-17,0.24772979,525.513,11,mtgox
2010-12-18,0.24641253,169.109,7,mtgox
2010-12-19,0.24365502,2000.757,13,mtgox
2010-12-20,0.25928646,10682.705,59,mtgox
2010-12-21,0.24841391,9225.789,41,mtgox
2010-12-22,0.2498057,3800.458,16,mtgox
2010-12-23,0.24979207,8650.148,43,mtgox
2010-12-24,0.24875499,5033.249,21,mtgox
2010-12-25,0.24956145,703,9,mtgox
2010-12-26,0.2534242,16584.97,29,mtgox
2010-12-27,0.25735068,4935.49,29,mtgox
2010-12-28,0.27456853,15438.708,47,mtgox
2010-12-29,0.28823182,18609.144,75,mtgox
2010-12-30,0.29919489,2539.873,8,mtgox
2010-12-31,0.29472078,1453.719,37,mtgox
2011-01-01,0.2984322,2821.243,16,mtgox
2011-01-02,0.29608181,5352.108,26,mtgox
2011-01-03,0.29529429,1425.19,25,mtgox
2011-01-04,0.29181988,1879.003,21,mtgox
2011-01-05,0.29733265,357.157,8,mtgox
2011-01-06,0.29835934,3456.489,19,mtgox
2011-01-07,0.30872781,42601.118,75,mtgox
2011-01-08,0.31424164,1629.438,21,mtgox
2011-01-09,0.32292491,1691.366,8,mtgox
2011-01-10,0.32451804,10355.828,37,mtgox
2011-01-11,0.32497425,4857.8,21,mtgox
2011-01-12,0.33508435,31359.765,68,mtgox
2011-01-13,0.35523967,20118.897,136,mtgox
2011-01-14,0.39405579,27130.957,77,mtgox
2011-01-15,0.390028,1515.661,29,mtgox
2011-01-16,0.39052608,2778.71,58,mtgox
2011-01-17,0.34870037,18241.146,139,mtgox
2011-01-18,0.31589243,15671.508,77,mtgox
2011-01-19,0.30824684,7291.627,35,mtgox
2011-01-20,0.34705043,19881.979,99,mtgox
2011-01-21,0.39535273,8477.545,83,mtgox
2011-01-22,0.42849777,10534.27,76,mtgox
2011-01-23,0.4404614,1148.402,27,mtgox
2011-01-24,0.40830844,11061.936,122,mtgox
2011-01-25,0.41653041,2163.718,25,mtgox
2011-01-26,0.40578382,15564.808,93,mtgox
2011-01-27,0.43622103,27708.195,61,mtgox
2011-01-28,0.4322981,5324.497,44,mtgox
2011-01-29,0.44438118,1448.382,9,mtgox
2011-01-30,0.459938,10383.593,71,mtgox
2011-01-31,0.51496256,63516.079,159,mtgox
2011-02-01,0.73709185,31562.117,168,mtgox
2011-02-02,0.73319062,5627.48,87,mtgox
2011-02-03,0.71137534,8524.501,100,mtgox
2011-02-04,0.8044524,42222.189,201,mtgox
2011-02-05,0.86364493,15786.811,135,mtgox
2011-02-06,0.87015982,8744.106,135,mtgox
2011-02-07,0.86099921,2264.28,87,mtgox
2011-02-08,0.89823543,7021.288,77,mtgox
2011-02-09,0.9561276,49632.504,265,mtgox
2011-02-10,0.96269392,26559.641,268,mtgox
2011-02-11,0.99356026,13299.179,219,mtgox
2011-02-12,1.05702138,4118.92,96,mtgox
2011-02-13,1.04865036,3240.64,59,mtgox
2011-02-14,1.06141886,7096.548,132,mtgox
2011-02-15,1.05442151,8616.577,104,mtgox
2011-02-16,1.03790933,7192.375,94,mtgox
2011-02-17,1.04367174,4009.844,64,mtgox
2011-02-18,0.88555844,36948.156,290,mtgox
2011-02-19,0.90944496,3798.708,95,mtgox
2011-02-20,0.85255075,9974.046,62,mtgox
2011-02-21,0.8445656,1700.121,32,mtgox
2011-02-22,0.88053375,12095.264,123,mtgox
2011-02-23,0.90160511,6718.872,84,mtgox
2011-02-24,0.94704662,13418.685,110,mtgox
2011-02-25,0.95858401,4461.061,109,mtgox
2011-02-26,0.93850141,4744.406,62,mtgox
2011-02-27,0.92728735,23268.75,132,mtgox
2011-02-28,0.88325125,4651.674,99,mtgox
2011-03-01,0.94876531,22569.783,136,mtgox
2011-03-02,0.92417219,2741.873,61,mtgox
2011-03-03,0.9176854,2746.67,60,mtgox
2011-03-04,0.91064488,2711.885,54,mtgox
2011-03-05,0.88420992,12570.588,117,mtgox
2011-03-06,0.85337343,12626.492,140,mtgox
2011-03-07,0.88580057,15271.268,98,mtgox
2011-03-08,0.86827546,4527.851,68,mtgox
2011-03-09,0.85375643,4546.046,57,mtgox
2011-03-10,0.89018631,8869.013,109,mtgox
2011-03-11,0.88624944,3725.512,57,mtgox
2011-03-12,0.89565682,4822.829,55,mtgox
2011-03-13,0.90172889,660.31,21,mtgox
2011-03-14,0.88753235,5269.235,57,mtgox
2011-03-15,0.88040726,2732.157,47,mtgox
2011-03-16,0.85266688,7929.615,128,mtgox
2011-03-17,0.84398801,7159.779,103,mtgox
2011-03-18,0.77120425,14226.223,123,mtgox
2011-03-19,0.75522014,9875.038,98,mtgox
2011-03-20,0.77426948,5815.319,71,mtgox
2011-03-21,0.75229432,3695.962,93,mtgox
2011-03-22,0.78197678,12147.723,154,mtgox
2011-03-23,0.83162695,13262.257,190,mtgox
2011-03-24,0.87511256,14009.368,184,mtgox
2011-03-25,0.87677229,4819.415,97,mtgox
2011-03-26,0.87194713,11756.42,153,mtgox
2011-03-27,0.83173067,5337.145,106,mtgox
2011-03-28,0.80712936,12565.154,127,mtgox
2011-03-29,0.78583327,4215.017,173,mtgox
2011-03-30,0.78681152,3218.221,86,mtgox
2011-03-31,0.78968602,6875.082,129,mtgox
2011-04-01,0.77937531,3186.767,88,mtgox
2011-04-02,0.78811226,2493.595,95,mtgox
2011-04-03,0.78210497,3931.385,71,mtgox
2011-04-04,0.69498861,31155.458,361,mtgox
2011-04-05,0.6703506,9730.303,339,mtgox
2011-04-06,0.71967822,8703.946,191,mtgox
2011-04-07,0.75492916,10832.992,284,mtgox
2011-04-08,0.76093997,18207.3,174,mtgox
2011-04-09,0.73773976,12119.397,156,mtgox
2011-04-10,0.737793,5348.98,90,mtgox
2011-04-11,0.768539,14645.925,286,mtgox
2011-04-12,0.85367948,48417.601,706,mtgox
2011-04-13,0.93248881,43397.558,436,mtgox
2011-04-14,0.95280683,31111.877,497,mtgox
2011-04-15,1.00366424,50304.611,750,mtgox
2011-04-16,1.0425323,28869.299,660,mtgox
2011-04-17,1.07675942,24225.699,597,mtgox
2011-04-18,1.14825517,27478.69,586,mtgox
2011-04-19,1.17722213,12556.732,438,mtgox
2011-04-20,1.15680103,21344.953,498,mtgox
2011-04-21,1.17940021,39295.694,505,mtgox
2011-04-22,1.2921329,39415.39,975,mtgox
2011-04-23,1.54971906,66620.358,1212,mtgox
2011-04-24,1.67470625,21541.692,703,mtgox
2011-04-25,1.57567673,13471.602,578,mtgox
2011-04-26,1.67168234,24054.311,888,mtgox
2011-04-27,1.88784968,33055.256,1224,mtgox
2011-04-28,2.02909064,100238.232,2192,mtgox
2011-04-29,2.58703363,57577.324,1567,mtgox
2011-04-30,3.28571716,65427.797,1217,mtgox
2011-05-01,3.13557963,45772.074,1029,mtgox
2011-05-02,3.2410968,18333.831,548,mtgox
2011-05-03,3.32093389,16919.179,650,mtgox
2011-05-04,3.43981464,17278.288,636,mtgox
2011-05-05,3.40913554,15350.341,524,mtgox
2011-05-06,3.47881952,23014.698,775,mtgox
2011-05-07,3.60896285,17833.289,379,mtgox
2011-05-08,3.76769214,21132.514,679,mtgox
2011-05-09,3.80229142,11520.926,738,mtgox
2011-05-10,4.73993935,56217.324,1597,mtgox
2011-05-11,5.35479228,52569.146,1711,mtgox
2011-05-12,5.82678541,31722.464,1322,mtgox
2011-05-13,7.48148838,64003.373,2426,mtgox
2011-05-14,7.86364815,55390.451,2213,mtgox
2011-05-15,6.7371619,18294.87,1238,mtgox
2011-05-16,7.77162561,44141.405,2143,mtgox
2011-05-17,7.52201225,35345.455,1582,mtgox
2011-05-18,7.13805691,25403.435,1546,mtgox
2011-05-19,6.96234866,24436.409,1294,mtgox
2011-05-20,6.2750699,44460.435,1877,mtgox
2011-05-21,5.96685378,31111.902,1451,mtgox
2011-05-22,6.46914878,23872.154,1348,mtgox
2011-05-23,7.10323553,35279.88,1998,mtgox
2011-05-24,7.23392585,29282.479,1223,mtgox
2011-05-25,7.97666886,64049.942,2618,mtgox
2011-05-26,8.54671208,28644.99,2566,mtgox
2011-05-27,8.67173304,14431.838,1157,mtgox
2011-05-28,8.44758678,12247.722,1050,mtgox
2011-05-29,8.29897062,7487.54,888,mtgox
2011-05-30,8.72497329,17680.151,1531,mtgox
2011-05-31,8.88497383,45794.425,2618,mtgox
2011-06-01,9.21261996,43479.96,2910,mtgox
2011-06-02,10.11304206,41047.265,3266,mtgox
2011-06-03,13.07906785,72980.242,5614,mtgox
2011-06-04,16.40618822,44475.343,3985,mtgox
2011-06-05,17.32414648,24278.972,3504,mtgox
2011-06-06,18.45855378,55092.474,5240,mtgox
2011-06-07,19.89951757,53715.037,4851,mtgox
2011-06-08,27.24628168,104925.157,9101,mtgox
2011-06-09,29.58019036,62933.66,6210,mtgox
2011-06-10,24.67010965,92208.2,6925,mtgox
2011-06-11,17.61375608,121869.972,9148,mtgox
2011-06-12,16.21183382,151194.158,12531,mtgox
2011-06-13,20.10628687,73421.791,9481,mtgox
2011-06-14,19.25003255,36155.99,5230,mtgox
2011-06-15,19.6787728,27711.898,4481,mtgox
2011-06-16,18.85575537,49202.135,6661,mtgox
2011-06-17,15.50630382,108623.773,12616,mtgox
